season,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2018,Ron Rivera,CAR,16,7,9,0,376,382,-6,23.5,23.88,-0.38,0.438
2018,Sean McDermott,BUF,16,6,10,0,269,374,-105,16.81,23.38,-6.56,0.375
2018,Sean McVay,LA,19,15,4,0,586,442,144,30.84,23.26,7.58,0.789
2018,Sean Payton,NO,18,14,4,0,547,393,154,30.39,21.83,8.56,0.778
2018,Steve Wilks,ARI,16,3,13,0,225,425,-200,14.06,26.56,-12.5,0.188
2018,Todd Bowles,NYJ,16,4,12,0,333,441,-108,20.81,27.56,-6.75,0.25
2018,Vance Joseph,DEN,16,6,10,0,329,349,-20,20.56,21.81,-1.25,0.375
2019,Adam Gase,NYJ,16,7,9,0,276,359,-83,17.25,22.44,-5.19,0.438
2019,Andy Reid,KC,19,15,4,0,568,383,185,29.89,20.16,9.74,0.789
2019,Anthony Lynn,LAC,16,5,11,0,337,345,-8,21.06,21.56,-0.5,0.312
2019,Bill Belichick,NE,17,12,5,0,433,245,188,25.47,14.41,11.06,0.706
2019,Bill Callahan,WAS,11,3,8,0,193,284,-91,17.55,25.82,-8.27,0.273
2019,Bill O'Brien,HOU,18,11,7,0,431,455,-24,23.94,25.28,-1.33,0.611
2019,Brian Flores,MIA,16,5,11,0,306,494,-188,19.12,30.88,-11.75,0.312
2019,Bruce Arians,TB,16,7,9,0,458,449,9,28.62,28.06,0.56,0.438
2019,Dan Quinn,ATL,16,7,9,0,381,399,-18,23.81,24.94,-1.12,0.438
2019,Doug Marrone,JAX,16,6,10,0,300,397,-97,18.75,24.81,-6.06,0.375
2019,Doug Pederson,PHI,17,9,8,0,394,371,23,23.18,21.82,1.35,0.529
2019,Frank Reich,IND,16,7,9,0,361,373,-12,22.56,23.31,-0.75,0.438
2019,Freddie Kitchens,CLE,16,6,10,0,335,393,-58,20.94,24.56,-3.62,0.375
2019,Jason Garrett,DAL,16,8,8,0,434,321,113,27.12,20.06,7.06,0.5
2019,Jay Gruden,WAS,5,0,5,0,73,151,-78,14.6,30.2,-15.6,0.0
2019,John Harbaugh,BAL,17,14,3,0,543,310,233,31.94,18.24,13.71,0.824
2019,Jon Gruden,LV,16,7,9,0,313,419,-106,19.56,26.19,-6.62,0.438
2019,Kliff Kingsbury,ARI,16,5,10,1,361,442,-81,22.56,27.62,-5.06,0.344
2019,Kyle Shanahan,SF,19,15,4,0,563,371,192,29.63,19.53,10.11,0.789
2019,Matt LaFleur,GB,18,14,4,0,424,373,51,23.56,20.72,2.83,0.778
2019,Matt Nagy,CHI,16,8,8,0,280,298,-18,17.5,18.62,-1.12,0.5
2019,Matt Patricia,DET,16,3,12,1,341,423,-82,21.31,26.44,-5.12,0.219
2019,Mike Tomlin,PIT,16,8,8,0,289,303,-14,18.06,18.94,-0.88,0.5
2019,Mike Vrabel,TEN,19,11,8,0,474,391,83,24.95,20.58,4.37,0.579
2019,Mike Zimmer,MIN,18,11,7,0,443,350,93,24.61,19.44,5.17,0.611
2019,Pat Shurmur,NYG,16,4,12,0,341,451,-110,21.31,28.19,-6.88,0.25
2019,Pete Carroll,SEA,18,12,6,0,445,435,10,24.72,24.17,0.56,0.667
2019,Ron Rivera,CAR,16,5,11,0,340,470,-130,21.25,29.38,-8.12,0.312
2019,Sean McDermott,BUF,17,10,7,0,333,281,52,19.59,16.53,3.06,0.588
2019,Sean McVay,LA,16,9,7,0,394,364,30,24.62,22.75,1.88,0.562
2019,Sean Payton,NO,17,13,4,0,478,367,111,28.12,21.59,6.53,0.765
2019,Vic Fangio,DEN,16,7,9,0,282,316,-34,17.62,19.75,-2.12,0.438
2019,Zac Taylor,CIN,16,2,14,0,279,420,-141,17.44,26.25,-8.81,0.125
2020,Adam Gase,NYJ,16,2,14,0,243,457,-214,15.19,28.56,-13.38,0.125
2020,Andy Reid,KC,19,16,3,0,542,434,108,28.53,22.84,5.68,0.842
2020,Anthony Lynn,LAC,16,7,9,0,384,426,-42,24.0,26.62,-2.62,0.438
2020,Bill Belichick,NE,16,7,9,0,326,353,-27,20.38,22.06,-1.69,0.438
2020,Bill O'Brien,HOU,4,0,4,0,80,126,-46,20.0,31.5,-11.5,0.0
