season,season_type,head_coach,posteam,plays,games,actual_pass_rate,expected_pass_rate,model_pass_oe,nflverse_expected_pass_rate,nflverse_pass_oe,mean_epa,success_rate,mean_yards_gained,meets_minimum_sample,actual_pass_rate_pct,expected_pass_rate_pct,model_pass_oe_pct,nflverse_pass_oe_pct,success_rate_pct
2018,POST,Bill O'Brien,HOU,68,1,0.8382352941176471,0.7543936698987596,0.08384162421888755,0.7558520651038956,8.238322901375154,-0.09628922223654467,0.47058823529411764,4.735294117647059,false,83.82,75.44,8.38,823.83,47.06
2018,REG,Joe Philbin,GB,259,4,0.7606177606177607,0.6785112101490981,0.08210655046866247,0.676370989027861,8.424677158989962,0.03684264100490309,0.43243243243243246,5.173745173745174,false,76.06,67.85,8.21,842.47,43.24
2018,REG,Mike Tomlin,PIT,1038,16,0.6946050096339114,0.6240457955849353,0.07055921404897607,0.608396982508559,8.620802712535237,0.10276162203276286,0.4720616570327553,6.22543352601156,true,69.46,62.4,7.06,862.08,47.21
2018,REG,Frank Reich,IND,1042,16,0.6535508637236085,0.6001195747117669,0.05343128901184151,0.6187081871457727,3.484267657783576,0.07654973947023508,0.4836852207293666,5.952015355086372,true,65.36,60.01,5.34,348.43,48.37
2018,REG,Mike McCarthy,GB,757,12,0.6988110964332893,0.6487497687528919,0.050061327680397366,0.6386515529016759,6.0159543531613435,0.05263478783804045,0.4610303830911493,6.038309114927345,true,69.88,64.87,5.01,601.6,46.1
2018,POST,Matt Nagy,CHI,62,1,0.7419354838709677,0.694467025274987,0.047468458595980784,0.7183319383090542,2.360354556191352,0.04478105716314774,0.4032258064516129,5.741935483870968,false,74.19,69.45,4.75,236.04,40.32
2018,POST,Doug Pederson,PHI,109,2,0.6605504587155964,0.6184184978267576,0.04213196088883866,0.6303708665414688,3.017959217412756,-0.057504160891478646,0.3944954128440367,5.064220183486238,false,66.06,61.84,4.21,301.8,39.45
2018,REG,Mike Zimmer,MIN,985,16,0.6700507614213198,0.6282551372561106,0.04179562416520912,0.6436300533053082,2.6420708116011573,-0.06683806936518942,0.433502538071066,5.619289340101523,true,67.01,62.83,4.18,264.21,43.35
2018,POST,Andy Reid,KC,124,2,0.6693548387096774,0.6275506236688329,0.04180421504084458,0.5567846144699762,11.257022423970122,0.10629844784254325,0.4274193548387097,5.830645161290323,false,66.94,62.76,4.18,1125.7,42.74
2018,REG,Andy Reid,KC,980,16,0.6479591836734694,0.6078685172508461,0.04009066642262332,0.5680968003138444,7.986238335962502,0.2436574517881569,0.4989795918367347,6.939795918367347,true,64.8,60.79,4.01,798.62,49.9
2018,REG,Doug Pederson,PHI,1018,16,0.6385068762278978,0.5985737746259099,0.039933101601988,0.6118712091492764,2.6635667078621497,0.03718875149191652,0.45972495088408644,5.7524557956777995,true,63.85,59.86,3.99,266.36,45.97
2018,REG,Dirk Koetter,TB,1039,16,0.6948989412897016,0.6604544668063456,0.034444474483356045,0.6456309085724385,4.926803271726304,0.04990837299190905,0.45139557266602504,6.395572666025024,true,69.49,66.05,3.44,492.68,45.14
2018,REG,Dan Quinn,ATL,998,16,0.6763527054108216,0.6460056005240868,0.03034710488673473,0.6326193328357054,4.37333725751163,0.08217101663285481,0.4649298597194389,6.24248496993988,true,67.64,64.6,3.03,437.33,46.49
2018,REG,Doug Marrone,JAX,997,16,0.6449348044132397,0.6148807114753415,0.030054092937898225,0.6426168541193248,0.23179502939149632,-0.11460057014426124,0.4082246740220662,4.852557673019057,true,64.49,61.49,3.01,23.18,40.82
2018,REG,Gregg Williams,CLE,448,8,0.6183035714285714,0.5932980562916741,0.02500551513689736,0.597060320691006,2.124325073756544,0.12920479795339465,0.484375,7.049107142857143,false,61.83,59.33,2.5,212.43,48.44
2018,POST,Anthony Lynn,LAC,128,2,0.6875,0.6676427397496968,0.019857260250303176,0.6544397391262464,3.3060260873753577,-0.028993500777102887,0.390625,4.5234375,false,68.75,66.76,1.99,330.6,39.06
2018,REG,Matt Nagy,CHI,990,16,0.5878787878787879,0.5683902815143084,0.01948850636447957,0.5784618063989764,0.9416981479811548,0.037821619617284426,0.4575757575757576,5.575757575757576,true,58.79,56.84,1.95,94.17,45.76
2018,REG,Ron Rivera,CAR,992,16,0.6270161290322581,0.6117457669426223,0.015270362089635779,0.6149914407344055,1.2024688297852633,0.056873440220854554,0.4788306451612903,6.036290322580645,true,62.7,61.17,1.53,120.25,47.88
2018,REG,Jason Garrett,DAL,1005,16,0.6079601990049751,0.5978597834688555,0.010100415536119707,0.6236021751195044,-1.5641976114529281,0.01971765980051856,0.43781094527363185,5.484577114427861,true,60.8,59.79,1.01,-156.42,43.78
2018,REG,Bill O'Brien,HOU,1021,16,0.6072477962781586,0.6010568945328844,0.006190901745274271,0.6147340609127405,-0.7486264634581902,0.022989248423643624,0.4348677766895201,5.692458374142997,true,60.72,60.11,0.62,-74.86,43.49
2018,POST,Sean Payton,NO,129,2,0.6434108527131783,0.6383114113853002,0.005099441327878046,0.6088462676130986,3.456458510007969,0.034670012274930766,0.4263565891472868,5.5271317829457365,false,64.34,63.83,0.51,345.65,42.64
2018,REG,Marvin Lewis,CIN,927,16,0.6461704422869471,0.6442108531144913,0.0019595891724558,0.6468905543440304,-0.07201120570832471,0.00008887050572296354,0.4250269687162891,5.370010787486516,true,64.62,64.42,0.2,-7.2,42.5
2018,POST,Frank Reich,IND,117,2,0.6666666666666666,0.6646169962215916,0.0020496704450749244,0.6526460319630101,1.4020634703656547,-0.035433932675188975,0.4444444444444444,5.905982905982906,false,66.67,66.46,0.2,140.21,44.44
2018,REG,Jay Gruden,WAS,954,16,0.6194968553459119,0.6203727747921826,-0.000875919446270608,0.6397158035879615,-2.0218948242049546,-0.07063061553389,0.42348008385744235,5.034591194968553,true,61.95,62.04,-0.09,-202.19,42.35
2018,REG,Anthony Lynn,LAC,928,16,0.5948275862068966,0.5972608868910615,-0.002433300684164932,0.5924470113421758,0.2380574864720733,0.1436615771922113,0.47198275862068967,6.439655172413793,true,59.48,59.73,-0.24,23.81,47.2
2018,REG,Sean McDermott,BUF,994,16,0.596579476861167,0.6007250209544239,-0.004145544093256954,0.6388784706783697,-4.229899381720264,-0.14151951318664982,0.3782696177062374,4.785714285714286,true,59.66,60.07,-0.41,-422.99,37.83
2018,REG,Pat Shurmur,NYG,978,16,0.647239263803681,0.6542837796653387,-0.007044515861657776,0.6583351470712869,-1.1095883267605964,0.01771955245632104,0.3997955010224949,5.831288343558282,true,64.72,65.43,-0.7,-110.96,39.98
