season,season_type,head_coach,posteam,plays,games,actual_pass_rate,expected_pass_rate,model_pass_oe,nflverse_expected_pass_rate,nflverse_pass_oe,mean_epa,success_rate,mean_yards_gained,meets_minimum_sample,actual_pass_rate_pct,expected_pass_rate_pct,model_pass_oe_pct,nflverse_pass_oe_pct,success_rate_pct
2025,POST,Matt LaFleur,GB,70,1,0.6857142857142857,0.6077425653519442,0.07797172036234164,0.5996276068900313,8.608667882425445,0.217744487005199,0.44285714285714284,6.014285714285714,false,68.57,60.77,7.8,860.87,44.29
2025,POST,Dave Canales,CAR,63,1,0.6984126984126984,0.6253305305698134,0.07308216784288502,0.6249424261706216,7.3470272242076815,-0.07389202366997207,0.42857142857142855,5.301587301587301,false,69.84,62.53,7.31,734.7,42.86
2025,REG,Jonathan Gannon,ARI,1068,17,0.697565543071161,0.6428858042906389,0.054679738780522055,0.6563221946261014,4.124334844505966,-0.011923025455760438,0.43164794007490637,5.188202247191011,true,69.76,64.29,5.47,412.43,43.16
2025,REG,Andy Reid,KC,1045,17,0.6564593301435406,0.6090071001287146,0.04745223001482597,0.6179076537275999,3.9508614214983853,0.03387396197725033,0.44401913875598087,5.228708133971292,true,65.65,60.9,4.75,395.09,44.4
2025,POST,Jim Harbaugh,LAC,59,1,0.7457627118644068,0.7020596707641463,0.04370304110026044,0.6990932395397607,4.666947232464612,-0.2542955205961964,0.423728813559322,3.5084745762711864,false,74.58,70.21,4.37,466.69,42.37
2025,REG,Sean Payton,DEN,1073,17,0.625349487418453,0.5906749403303021,0.03467454708815087,0.6096527738095663,1.5696713608886634,0.04781455307652335,0.4408201304753029,5.445479962721342,true,62.53,59.07,3.47,156.97,44.08
2025,REG,Mike Vrabel,NE,1011,17,0.6063303659742829,0.5720651606461329,0.03426520532815008,0.5797366061304078,2.659375984387511,0.1637594436081789,0.4846686449060336,6.41246290801187,true,60.63,57.21,3.43,265.94,48.47
2025,REG,Sean McVay,LA,1053,17,0.5925925925925926,0.5590368039844714,0.0335557886081212,0.5613533357443096,3.1239256848283077,0.1540012067608538,0.5194681861348528,6.400759734093067,true,59.26,55.9,3.36,312.39,51.95
2025,POST,DeMeco Ryans,HOU,137,2,0.635036496350365,0.603038720856753,0.031997775493611935,0.6308387224256558,0.41977739247092366,-0.16114443289606603,0.40875912408759124,4.737226277372263,false,63.5,60.3,3.2,41.98,40.88
2025,POST,Sean Payton,DEN,124,2,0.6935483870967742,0.6666874633510222,0.026860923745751955,0.6652665054125171,2.8281881684257137,-0.1282189148965784,0.3629032258064516,4.306451612903226,false,69.35,66.67,2.69,282.82,36.29
2025,REG,DeMeco Ryans,HOU,1069,17,0.6014967259120674,0.5771626995259193,0.024334026386148108,0.6107901276496106,-0.8357948042501123,-0.007893880548411562,0.41440598690364827,5.207670720299345,true,60.15,57.72,2.43,-83.58,41.44
2025,REG,Zac Taylor,CIN,1044,17,0.6580459770114943,0.6354628629833489,0.02258311402814544,0.6408926903687674,1.715328664272681,-0.007790194136622653,0.4549808429118774,5.3773946360153255,true,65.8,63.55,2.26,171.53,45.5
2025,REG,Liam Coen,JAX,1069,17,0.6024321796071095,0.5799121330550215,0.022520046552087933,0.5857759868957876,1.6656192711321856,0.0334633084255643,0.4452759588400374,5.380729653882133,true,60.24,57.99,2.25,166.56,44.53
2025,REG,Jim Harbaugh,LAC,1077,17,0.6323119777158774,0.6140521164779816,0.0182598612378958,0.6257040512505071,0.6607926465370307,-0.016162324513215552,0.43175487465181056,5.282265552460538,true,63.23,61.41,1.83,66.08,43.18
2025,REG,Shane Steichen,IND,999,17,0.5995995995995996,0.5836400530703291,0.01595954652927058,0.6061805932520626,-0.6580993652463079,0.08313666511937406,0.46646646646646645,5.891891891891892,true,59.96,58.36,1.6,-65.81,46.65
2025,REG,Kevin O'Connell,MIN,934,17,0.6113490364025695,0.5957346883141342,0.015614348088435353,0.6204754283504134,-0.9126391947843788,-0.10461317201191125,0.4282655246252677,5.0214132762312635,true,61.13,59.57,1.56,-91.26,42.83
2025,REG,Pete Carroll,LV,937,17,0.6382070437566703,0.6242532930195505,0.013953750737119764,0.6546204064156673,-1.6413362658997102,-0.20911404531719116,0.3767342582710779,4.454642475987193,true,63.82,62.43,1.4,-164.13,37.67
2025,POST,Kyle Shanahan,SF,115,2,0.6434782608695652,0.6297628315711804,0.013715429298384773,0.633801549932231,0.9676710937334143,-0.18807872634550996,0.41739130434782606,5.217391304347826,false,64.35,62.98,1.37,96.77,41.74
2025,REG,Mike Tomlin,PIT,973,17,0.6084275436793423,0.5990799632724274,0.009347580406914826,0.6146115034948824,-0.6183959815540148,0.026834794824716294,0.4398766700924974,5.348406988694759,true,60.84,59.91,0.93,-61.84,43.99
2025,REG,Kevin Stefanski,CLE,1023,17,0.624633431085044,0.6169713778191128,0.007662053265931177,0.661805333764468,-3.7171902679424016,-0.18585162852320714,0.3460410557184751,4.359726295210166,true,62.46,61.7,0.77,-371.72,34.6
2025,REG,Kyle Shanahan,SF,1060,17,0.5886792452830188,0.5854276996536596,0.0032515456293592433,0.5975086727794611,-0.8829427496442255,0.08906297793335125,0.4830188679245283,5.65377358490566,true,58.87,58.54,0.33,-88.29,48.3
