season,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2022,ARI,17,4,13,0,340,449,-109,20.0,26.41,-6.41,0.235
2022,ATL,17,7,10,0,365,386,-21,21.47,22.71,-1.24,0.412
2022,BAL,18,10,8,0,367,339,28,20.39,18.83,1.56,0.556
2022,BUF,18,14,4,0,499,344,155,27.72,19.11,8.61,0.778
2022,CAR,17,7,10,0,347,374,-27,20.41,22.0,-1.59,0.412
2022,CHI,17,3,14,0,326,463,-137,19.18,27.24,-8.06,0.176
2022,CIN,19,14,5,0,489,372,117,25.74,19.58,6.16,0.737
2022,CLE,17,7,10,0,361,381,-20,21.24,22.41,-1.18,0.412
2022,DAL,19,13,6,0,510,375,135,26.84,19.74,7.11,0.684
2022,DEN,17,5,12,0,287,359,-72,16.88,21.12,-4.24,0.294
2022,DET,17,9,8,0,453,427,26,26.65,25.12,1.53,0.529
2022,GB,17,8,9,0,370,371,-1,21.76,21.82,-0.06,0.471
2022,HOU,17,3,13,1,289,420,-131,17.0,24.71,-7.71,0.206
2022,IND,17,4,12,1,289,427,-138,17.0,25.12,-8.12,0.265
2022,JAX,19,10,9,0,455,407,48,23.95,21.42,2.53,0.526
2022,KC,20,17,3,0,584,444,140,29.2,22.2,7.0,0.85
2022,LA,17,5,12,0,307,384,-77,18.06,22.59,-4.53,0.294
2022,LAC,18,10,8,0,421,415,6,23.39,23.06,0.33,0.556
2022,LV,17,6,11,0,395,418,-23,23.24,24.59,-1.35,0.353
2022,MIA,18,9,9,0,428,433,-5,23.78,24.06,-0.28,0.5
2022,MIN,18,13,5,0,448,458,-10,24.89,25.44,-0.56,0.722
2022,NE,17,8,9,0,364,347,17,21.41,20.41,1.0,0.471
2022,NO,17,7,10,0,330,345,-15,19.41,20.29,-0.88,0.412
2022,NYG,19,10,8,1,403,433,-30,21.21,22.79,-1.58,0.553
2022,NYJ,17,7,10,0,296,316,-20,17.41,18.59,-1.18,0.412
2022,PHI,20,16,4,0,581,396,185,29.05,19.8,9.25,0.8
2022,PIT,17,9,8,0,308,346,-38,18.12,20.35,-2.24,0.529
2022,SEA,18,9,9,0,430,442,-12,23.89,24.56,-0.67,0.5
2022,SF,20,15,5,0,517,343,174,25.85,17.15,8.7,0.75
2022,TB,18,8,10,0,327,389,-62,18.17,21.61,-3.44,0.444
2022,TEN,17,7,10,0,298,359,-61,17.53,21.12,-3.59,0.412
2022,WAS,17,8,8,1,321,343,-22,18.88,20.18,-1.29,0.5
2023,ARI,17,4,13,0,330,455,-125,19.41,26.76,-7.35,0.235
2023,ATL,17,7,10,0,321,373,-52,18.88,21.94,-3.06,0.412
2023,BAL,19,14,5,0,527,307,220,27.74,16.16,11.58,0.737
2023,BUF,19,12,7,0,506,355,151,26.63,18.68,7.95,0.632
2023,CAR,17,2,15,0,236,416,-180,13.88,24.47,-10.59,0.118
2023,CHI,17,7,10,0,360,379,-19,21.18,22.29,-1.12,0.412
2023,CIN,17,9,8,0,366,384,-18,21.53,22.59,-1.06,0.529
