season,season_type,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2019,REG,Bill O'Brien,HOU,16,10,6,0,378,385,-7,23.62,24.06,-0.44,0.625
2019,REG,Brian Flores,MIA,16,5,11,0,306,494,-188,19.12,30.88,-11.75,0.312
2019,REG,Bruce Arians,TB,16,7,9,0,458,449,9,28.62,28.06,0.56,0.438
2019,REG,Dan Quinn,ATL,16,7,9,0,381,399,-18,23.81,24.94,-1.12,0.438
2019,REG,Doug Marrone,JAX,16,6,10,0,300,397,-97,18.75,24.81,-6.06,0.375
2019,REG,Doug Pederson,PHI,16,9,7,0,385,354,31,24.06,22.12,1.94,0.562
2019,REG,Frank Reich,IND,16,7,9,0,361,373,-12,22.56,23.31,-0.75,0.438
2019,REG,Freddie Kitchens,CLE,16,6,10,0,335,393,-58,20.94,24.56,-3.62,0.375
2019,REG,Jason Garrett,DAL,16,8,8,0,434,321,113,27.12,20.06,7.06,0.5
2019,REG,Jay Gruden,WAS,5,0,5,0,73,151,-78,14.6,30.2,-15.6,0.0
2019,REG,John Harbaugh,BAL,16,14,2,0,531,282,249,33.19,17.62,15.56,0.875
2019,REG,Jon Gruden,LV,16,7,9,0,313,419,-106,19.56,26.19,-6.62,0.438
2019,REG,Kliff Kingsbury,ARI,16,5,10,1,361,442,-81,22.56,27.62,-5.06,0.344
2019,REG,Kyle Shanahan,SF,16,13,3,0,479,310,169,29.94,19.38,10.56,0.812
2019,REG,Matt LaFleur,GB,16,13,3,0,376,313,63,23.5,19.56,3.94,0.812
2019,REG,Matt Nagy,CHI,16,8,8,0,280,298,-18,17.5,18.62,-1.12,0.5
2019,REG,Matt Patricia,DET,16,3,12,1,341,423,-82,21.31,26.44,-5.12,0.219
2019,REG,Mike Tomlin,PIT,16,8,8,0,289,303,-14,18.06,18.94,-0.88,0.5
2019,REG,Mike Vrabel,TEN,16,9,7,0,402,331,71,25.12,20.69,4.44,0.562
2019,REG,Mike Zimmer,MIN,16,10,6,0,407,303,104,25.44,18.94,6.5,0.625
2019,REG,Pat Shurmur,NYG,16,4,12,0,341,451,-110,21.31,28.19,-6.88,0.25
2019,REG,Pete Carroll,SEA,16,11,5,0,405,398,7,25.31,24.88,0.44,0.688
2019,REG,Ron Rivera,CAR,16,5,11,0,340,470,-130,21.25,29.38,-8.12,0.312
2019,REG,Sean McDermott,BUF,16,10,6,0,314,259,55,19.62,16.19,3.44,0.625
2019,REG,Sean McVay,LA,16,9,7,0,394,364,30,24.62,22.75,1.88,0.562
2019,REG,Sean Payton,NO,16,13,3,0,458,341,117,28.62,21.31,7.31,0.812
2019,REG,Vic Fangio,DEN,16,7,9,0,282,316,-34,17.62,19.75,-2.12,0.438
2019,REG,Zac Taylor,CIN,16,2,14,0,279,420,-141,17.44,26.25,-8.81,0.125
2020,POST,Andy Reid,KC,3,2,1,0,69,72,-3,23.0,24.0,-1.0,0.667
2020,POST,Bruce Arians,TB,4,4,0,0,123,78,45,30.75,19.5,11.25,1.0
2020,POST,Frank Reich,IND,1,0,1,0,24,27,-3,24.0,27.0,-3.0,0.0
2020,POST,John Harbaugh,BAL,2,1,1,0,23,30,-7,11.5,15.0,-3.5,0.5
2020,POST,Kevin Stefanski,CLE,2,1,1,0,65,59,6,32.5,29.5,3.0,0.5
2020,POST,Matt LaFleur,GB,2,1,1,0,58,49,9,29.0,24.5,4.5,0.5
2020,POST,Matt Nagy,CHI,1,0,1,0,9,21,-12,9.0,21.0,-12.0,0.0
2020,POST,Mike Tomlin,PIT,1,0,1,0,37,48,-11,37.0,48.0,-11.0,0.0
2020,POST,Mike Vrabel,TEN,1,0,1,0,13,20,-7,13.0,20.0,-7.0,0.0
2020,POST,Pete Carroll,SEA,1,0,1,0,20,30,-10,20.0,30.0,-10.0,0.0
2020,POST,Ron Rivera,WAS,1,0,1,0,23,31,-8,23.0,31.0,-8.0,0.0
2020,POST,Sean McDermott,BUF,3,2,1,0,68,65,3,22.67,21.67,1.0,0.667
2020,POST,Sean McVay,LA,2,1,1,0,48,52,-4,24.0,26.0,-2.0,0.5
2020,POST,Sean Payton,NO,2,1,1,0,41,39,2,20.5,19.5,1.0,0.5
2020,REG,Adam Gase,NYJ,16,2,14,0,243,457,-214,15.19,28.56,-13.38,0.125
2020,REG,Andy Reid,KC,16,14,2,0,473,362,111,29.56,22.62,6.94,0.875
2020,REG,Anthony Lynn,LAC,16,7,9,0,384,426,-42,24.0,26.62,-2.62,0.438
2020,REG,Bill Belichick,NE,16,7,9,0,326,353,-27,20.38,22.06,-1.69,0.438
2020,REG,Bill O'Brien,HOU,4,0,4,0,80,126,-46,20.0,31.5,-11.5,0.0
2020,REG,Brian Flores,MIA,16,10,6,0,404,338,66,25.25,21.12,4.12,0.625
2020,REG,Bruce Arians,TB,16,11,5,0,492,355,137,30.75,22.19,8.56,0.688
2020,REG,Dan Quinn,ATL,5,0,5,0,122,161,-39,24.4,32.2,-7.8,0.0
2020,REG,Darrell Bevell,DET,5,1,4,0,125,191,-66,25.0,38.2,-13.2,0.2
2020,REG,Doug Marrone,JAX,16,1,15,0,306,492,-186,19.12,30.75,-11.62,0.062
2020,REG,Doug Pederson,PHI,16,4,11,1,334,418,-84,20.88,26.12,-5.25,0.281
2020,REG,Frank Reich,IND,16,11,5,0,451,362,89,28.19,22.62,5.56,0.688
2020,REG,Joe Judge,NYG,16,6,10,0,280,357,-77,17.5,22.31,-4.81,0.375
2020,REG,John Harbaugh,BAL,16,11,5,0,468,303,165,29.25,18.94,10.31,0.688
2020,REG,Jon Gruden,LV,16,8,8,0,434,478,-44,27.12,29.88,-2.75,0.5
2020,REG,Kevin Stefanski,CLE,16,11,5,0,408,419,-11,25.5,26.19,-0.69,0.688
2020,REG,Kliff Kingsbury,ARI,16,8,8,0,410,367,43,25.62,22.94,2.69,0.5
2020,REG,Kyle Shanahan,SF,16,6,10,0,376,390,-14,23.5,24.38,-0.88,0.375
2020,REG,Matt LaFleur,GB,16,13,3,0,509,369,140,31.81,23.06,8.75,0.812
2020,REG,Matt Nagy,CHI,16,8,8,0,372,370,2,23.25,23.12,0.12,0.5
2020,REG,Matt Patricia,DET,11,4,7,0,252,328,-76,22.91,29.82,-6.91,0.364
2020,REG,Matt Rhule,CAR,16,5,11,0,350,402,-52,21.88,25.12,-3.25,0.312
2020,REG,Mike McCarthy,DAL,16,6,10,0,395,473,-78,24.69,29.56,-4.88,0.375
2020,REG,Mike Tomlin,PIT,16,12,4,0,416,312,104,26.0,19.5,6.5,0.75
2020,REG,Mike Vrabel,TEN,16,11,5,0,491,439,52,30.69,27.44,3.25,0.688
2020,REG,Mike Zimmer,MIN,16,7,9,0,430,475,-45,26.88,29.69,-2.81,0.438
2020,REG,Pete Carroll,SEA,16,12,4,0,459,371,88,28.69,23.19,5.5,0.75
2020,REG,Raheem Morris,ATL,11,4,7,0,274,253,21,24.91,23.0,1.91,0.364
2020,REG,Romeo Crennel,HOU,12,4,8,0,304,338,-34,25.33,28.17,-2.83,0.333
2020,REG,Ron Rivera,WAS,16,7,9,0,335,329,6,20.94,20.56,0.38,0.438
2020,REG,Sean McDermott,BUF,16,13,3,0,501,375,126,31.31,23.44,7.88,0.812
2020,REG,Sean McVay,LA,16,10,6,0,372,296,76,23.25,18.5,4.75,0.625
2020,REG,Sean Payton,NO,16,12,4,0,482,337,145,30.12,21.06,9.06,0.75
2020,REG,Vic Fangio,DEN,16,5,11,0,323,446,-123,20.19,27.88,-7.69,0.312
2020,REG,Zac Taylor,CIN,16,4,11,1,311,424,-113,19.44,26.5,-7.06,0.281
