season,season_type,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2023,REG,Pete Carroll,SEA,17,9,8,0,364,402,-38,21.41,23.65,-2.24,0.529
2023,REG,Robert Saleh,NYJ,17,7,10,0,268,355,-87,15.76,20.88,-5.12,0.412
2023,REG,Ron Rivera,WAS,17,4,13,0,329,518,-189,19.35,30.47,-11.12,0.235
2023,REG,Sean McDermott,BUF,17,11,6,0,451,311,140,26.53,18.29,8.24,0.647
2023,REG,Sean McVay,LA,17,10,7,0,404,377,27,23.76,22.18,1.59,0.588
2023,REG,Sean Payton,DEN,17,8,9,0,357,413,-56,21.0,24.29,-3.29,0.471
2023,REG,Shane Steichen,IND,17,9,8,0,396,415,-19,23.29,24.41,-1.12,0.529
2023,REG,Todd Bowles,TB,17,9,8,0,348,325,23,20.47,19.12,1.35,0.529
2023,REG,Zac Taylor,CIN,17,9,8,0,366,384,-18,21.53,22.59,-1.06,0.529
2024,POST,Andy Reid,KC,3,2,1,0,77,83,-6,25.67,27.67,-2.0,0.667
2024,POST,Dan Campbell,DET,1,0,1,0,31,45,-14,31.0,45.0,-14.0,0.0
2024,POST,Dan Quinn,WAS,3,2,1,0,91,106,-15,30.33,35.33,-5.0,0.667
2024,POST,DeMeco Ryans,HOU,2,1,1,0,46,35,11,23.0,17.5,5.5,0.5
2024,POST,Jim Harbaugh,LAC,1,0,1,0,12,32,-20,12.0,32.0,-20.0,0.0
2024,POST,John Harbaugh,BAL,2,1,1,0,53,41,12,26.5,20.5,6.0,0.5
2024,POST,Kevin O'Connell,MIN,1,0,1,0,9,27,-18,9.0,27.0,-18.0,0.0
2024,POST,Matt LaFleur,GB,1,0,1,0,10,22,-12,10.0,22.0,-12.0,0.0
2024,POST,Mike Tomlin,PIT,1,0,1,0,14,28,-14,14.0,28.0,-14.0,0.0
2024,POST,Nick Sirianni,PHI,4,4,0,0,145,77,68,36.25,19.25,17.0,1.0
2024,POST,Sean McDermott,BUF,3,2,1,0,87,64,23,29.0,21.33,7.67,0.667
2024,POST,Sean McVay,LA,2,1,1,0,49,37,12,24.5,18.5,6.0,0.5
2024,POST,Sean Payton,DEN,1,0,1,0,7,31,-24,7.0,31.0,-24.0,0.0
2024,POST,Todd Bowles,TB,1,0,1,0,20,23,-3,20.0,23.0,-3.0,0.0
2024,REG,Andy Reid,KC,17,15,2,0,385,326,59,22.65,19.18,3.47,0.882
2024,REG,Antonio Pierce,LV,17,4,13,0,309,434,-125,18.18,25.53,-7.35,0.235
2024,REG,Brian Callahan,TEN,17,3,14,0,311,460,-149,18.29,27.06,-8.76,0.176
2024,REG,Brian Daboll,NYG,17,3,14,0,273,415,-142,16.06,24.41,-8.35,0.176
2024,REG,Dan Campbell,DET,17,15,2,0,564,342,222,33.18,20.12,13.06,0.882
2024,REG,Dan Quinn,WAS,17,12,5,0,485,391,94,28.53,23.0,5.53,0.706
2024,REG,Darren Rizzi,NO,8,3,5,0,131,169,-38,16.38,21.12,-4.75,0.375
2024,REG,Dave Canales,CAR,17,5,12,0,341,534,-193,20.06,31.41,-11.35,0.294
2024,REG,DeMeco Ryans,HOU,17,10,7,0,372,372,0,21.88,21.88,0.0,0.588
2024,REG,Dennis Allen,NO,9,2,7,0,207,229,-22,23.0,25.44,-2.44,0.222
2024,REG,Doug Pederson,JAX,17,4,13,0,320,435,-115,18.82,25.59,-6.76,0.235
2024,REG,Jeff Ulbrich,NYJ,12,3,9,0,245,319,-74,20.42,26.58,-6.17,0.25
2024,REG,Jerod Mayo,NE,17,4,13,0,289,417,-128,17.0,24.53,-7.53,0.235
2024,REG,Jim Harbaugh,LAC,17,11,6,0,402,301,101,23.65,17.71,5.94,0.647
2024,REG,John Harbaugh,BAL,17,12,5,0,518,361,157,30.47,21.24,9.24,0.706
2024,REG,Jonathan Gannon,ARI,17,8,9,0,400,379,21,23.53,22.29,1.24,0.471
2024,REG,Kevin O'Connell,MIN,17,14,3,0,432,332,100,25.41,19.53,5.88,0.824
2024,REG,Kevin Stefanski,CLE,17,3,14,0,258,435,-177,15.18,25.59,-10.41,0.176
2024,REG,Kyle Shanahan,SF,17,6,11,0,389,436,-47,22.88,25.65,-2.76,0.353
2024,REG,Matt Eberflus,CHI,12,4,8,0,241,240,1,20.08,20.0,0.08,0.333
2024,REG,Matt LaFleur,GB,17,11,6,0,460,338,122,27.06,19.88,7.18,0.647
2024,REG,Mike Macdonald,SEA,17,10,7,0,375,368,7,22.06,21.65,0.41,0.588
2024,REG,Mike McCarthy,DAL,17,7,10,0,350,468,-118,20.59,27.53,-6.94,0.412
2024,REG,Mike McDaniel,MIA,17,8,9,0,345,364,-19,20.29,21.41,-1.12,0.471
2024,REG,Mike Tomlin,PIT,17,10,7,0,380,347,33,22.35,20.41,1.94,0.588
2024,REG,Nick Sirianni,PHI,17,14,3,0,463,303,160,27.24,17.82,9.41,0.824
2024,REG,Raheem Morris,ATL,17,8,9,0,389,423,-34,22.88,24.88,-2.0,0.471
2024,REG,Robert Saleh,NYJ,5,2,3,0,93,85,8,18.6,17.0,1.6,0.4
2024,REG,Sean McDermott,BUF,17,13,4,0,525,368,157,30.88,21.65,9.24,0.765
2024,REG,Sean McVay,LA,17,10,7,0,367,386,-19,21.59,22.71,-1.12,0.588
2024,REG,Sean Payton,DEN,17,10,7,0,425,311,114,25.0,18.29,6.71,0.588
2024,REG,Shane Steichen,IND,17,8,9,0,377,427,-50,22.18,25.12,-2.94,0.471
2024,REG,Thomas Brown,CHI,5,1,4,0,69,130,-61,13.8,26.0,-12.2,0.2
2024,REG,Todd Bowles,TB,17,10,7,0,502,385,117,29.53,22.65,6.88,0.588
2024,REG,Zac Taylor,CIN,17,9,8,0,472,434,38,27.76,25.53,2.24,0.529
2025,POST,Ben Johnson,CHI,2,1,1,0,48,47,1,24.0,23.5,0.5,0.5
2025,POST,Dave Canales,CAR,1,0,1,0,31,34,-3,31.0,34.0,-3.0,0.0
2025,POST,DeMeco Ryans,HOU,2,1,1,0,46,34,12,23.0,17.0,6.0,0.5
2025,POST,Jim Harbaugh,LAC,1,0,1,0,3,16,-13,3.0,16.0,-13.0,0.0
2025,POST,Kyle Shanahan,SF,2,1,1,0,29,60,-31,14.5,30.0,-15.5,0.5
2025,POST,Liam Coen,JAX,1,0,1,0,24,27,-3,24.0,27.0,-3.0,0.0
2025,POST,Matt LaFleur,GB,1,0,1,0,27,31,-4,27.0,31.0,-4.0,0.0
2025,POST,Mike Macdonald,SEA,3,3,0,0,101,46,55,33.67,15.33,18.33,1.0
2025,POST,Mike Tomlin,PIT,1,0,1,0,6,30,-24,6.0,30.0,-24.0,0.0
2025,POST,Mike Vrabel,NE,4,3,1,0,67,55,12,16.75,13.75,3.0,0.75
2025,POST,Nick Sirianni,PHI,1,0,1,0,19,23,-4,19.0,23.0,-4.0,0.0
2025,POST,Sean McDermott,BUF,2,1,1,0,57,57,0,28.5,28.5,0.0,0.5
2025,POST,Sean McVay,LA,3,2,1,0,81,79,2,27.0,26.33,0.67,0.667
2025,POST,Sean Payton,DEN,2,1,1,0,40,40,0,20.0,20.0,0.0,0.5
2025,REG,Aaron Glenn,NYJ,17,3,14,0,300,503,-203,17.65,29.59,-11.94,0.176
2025,REG,Andy Reid,KC,17,6,11,0,362,328,34,21.29,19.29,2.0,0.353
2025,REG,Ben Johnson,CHI,17,11,6,0,441,415,26,25.94,24.41,1.53,0.647
2025,REG,Brian Callahan,TEN,6,1,5,0,83,161,-78,13.83,26.83,-13.0,0.167
2025,REG,Brian Daboll,NYG,10,2,8,0,217,273,-56,21.7,27.3,-5.6,0.2
2025,REG,Brian Schottenheimer,DAL,17,7,9,1,471,511,-40,27.71,30.06,-2.35,0.441
2025,REG,Dan Campbell,DET,17,9,8,0,481,413,68,28.29,24.29,4.0,0.529
2025,REG,Dan Quinn,WAS,17,5,12,0,356,451,-95,20.94,26.53,-5.59,0.294
2025,REG,Dave Canales,CAR,17,8,9,0,311,380,-69,18.29,22.35,-4.06,0.471
2025,REG,DeMeco Ryans,HOU,17,12,5,0,404,295,109,23.76,17.35,6.41,0.706
2025,REG,Jim Harbaugh,LAC,17,11,6,0,368,340,28,21.65,20.0,1.65,0.647
2025,REG,John Harbaugh,BAL,17,8,9,0,424,398,26,24.94,23.41,1.53,0.471
2025,REG,Jonathan Gannon,ARI,17,3,14,0,355,488,-133,20.88,28.71,-7.82,0.176
2025,REG,Kellen Moore,NO,17,6,11,0,306,383,-77,18.0,22.53,-4.53,0.353
2025,REG,Kevin O'Connell,MIN,17,9,8,0,344,333,11,20.24,19.59,0.65,0.529
2025,REG,Kevin Stefanski,CLE,17,5,12,0,279,379,-100,16.41,22.29,-5.88,0.294
2025,REG,Kyle Shanahan,SF,17,12,5,0,437,371,66,25.71,21.82,3.88,0.706
2025,REG,Liam Coen,JAX,17,13,4,0,474,336,138,27.88,19.76,8.12,0.765
2025,REG,Matt LaFleur,GB,17,9,7,1,391,360,31,23.0,21.18,1.82,0.559
2025,REG,Mike Kafka,NYG,7,2,5,0,164,166,-2,23.43,23.71,-0.29,0.286
2025,REG,Mike Macdonald,SEA,17,14,3,0,483,292,191,28.41,17.18,11.24,0.824
2025,REG,Mike McCoy,TEN,11,2,9,0,201,317,-116,18.27,28.82,-10.55,0.182
2025,REG,Mike McDaniel,MIA,17,7,10,0,347,424,-77,20.41,24.94,-4.53,0.412
2025,REG,Mike Tomlin,PIT,17,10,7,0,397,387,10,23.35,22.76,0.59,0.588
2025,REG,Mike Vrabel,NE,17,14,3,0,490,320,170,28.82,18.82,10.0,0.824
2025,REG,Nick Sirianni,PHI,17,11,6,0,379,325,54,22.29,19.12,3.18,0.647
2025,REG,Pete Carroll,LV,17,3,14,0,241,432,-191,14.18,25.41,-11.24,0.176
2025,REG,Raheem Morris,ATL,17,8,9,0,353,401,-48,20.76,23.59,-2.82,0.471
2025,REG,Sean McDermott,BUF,17,12,5,0,481,365,116,28.29,21.47,6.82,0.706
2025,REG,Sean McVay,LA,17,12,5,0,518,346,172,30.47,20.35,10.12,0.706
2025,REG,Sean Payton,DEN,17,14,3,0,401,311,90,23.59,18.29,5.29,0.824
2025,REG,Shane Steichen,IND,17,8,9,0,466,412,54,27.41,24.24,3.18,0.471
2025,REG,Todd Bowles,TB,17,8,9,0,380,411,-31,22.35,24.18,-1.82,0.471
2025,REG,Zac Taylor,CIN,17,6,11,0,414,492,-78,24.35,28.94,-4.59,0.353
